,Wind,Total TTE,Mean TTE,Completed Mission,Reward,Time Outside Corridor
0,zero,127.20399328330615,0.6145120448468896,True,8673.178,0.0
1,n5,148.17974469401673,0.7158441772657813,True,8470.58,0.0
2,n7,237.2270288844524,1.1350575544710642,True,7603.6455,0.0
3,n10,2386.1210912613196,9.819428359100081,True,-13820.058,46.0
4,s5,206.234184991185,0.9915105047653126,True,7892.451,0.0
5,s7,302.5281172905202,1.4203197994860102,True,6955.5796,0.0
6,s10,761.4375531838584,3.146436170181233,True,2434.9097,18.0
7,e5,141.0255227336859,0.6812827185202217,True,8536.959,0.0
8,e7,234.32038087754148,1.1105231321210496,True,7632.2397,0.0
9,e10,2497.242014052789,10.0290843937863,True,-14943.157,35.0
10,w5,208.49799674372287,1.007236699245038,True,7878.874,0.0
11,w7,310.1423211634151,1.456067235508991,True,6894.85,0.0
12,w10,2948.4862777283297,10.840023079883565,True,-19420.605,41.5
13,nw5,152.06293931584594,0.7346035715741349,True,8433.929,0.0
14,nw7,221.05181190350226,1.0627490956899146,True,7756.4863,0.0
15,nw10,431.56683365319225,1.9979946002462603,True,5706.911,0.0
16,sw5,202.7195139468187,0.9746130478212437,True,7936.8677,0.0
17,sw7,294.9167308439465,1.397709624852827,True,7043.4014,0.0
18,sw10,535.0104851895363,2.4318658417706196,True,4684.0674,0.0
19,ne5,103.10157596859071,0.5004930872261685,True,8908.899,0.0
20,ne7,166.05266936931116,0.7945103797574696,True,8306.793,0.0
21,ne10,379.872322394136,1.775104310252972,True,6200.711,0.0
22,se5,141.90325582188132,0.6855229749849339,True,8522.861,0.0
23,se7,212.08799424910572,1.019653818505316,True,7838.8555,0.0
24,se10,428.9005262374774,1.976500120910034,True,5720.6963,0.0
