,Agent,Mass,Total TTE,Mean TTE,Completed Mission,Reward,Time Outside Corridor
0,LSTM Agent,8,881.3007605422479,1.5273843336954036,True,11219.821,0.5
1,LSTM Agent,10,372.30386149281077,0.6636432468677553,True,16251.688,0.5
2,LSTM Agent,12,582.6657323969121,1.0294447568850036,True,14201.846,0.5
3,LSTM Agent,14,312.2392936801993,0.5545991006753096,True,16845.785,0.5
4,LSTM Agent,16,379.47549954729163,0.6728288999065455,True,16177.957,0.5
5,LSTM Agent,8,357.72265054082527,0.6365171717808279,True,16398.547,0.5
6,LSTM Agent,10,342.84422869846196,0.6057318528241378,True,16550.06,0.5
7,LSTM Agent,12,452.75441583463055,0.8056128395633996,True,15470.471,0.5
8,LSTM Agent,14,318.2146647119957,0.5652125483339178,True,16779.621,0.5
9,LSTM Agent,16,334.5568817665506,0.5921360739230984,True,16619.787,0.5
10,LSTM Agent,8,325.7039508578297,0.5764671696598755,True,16705.117,0.5
11,LSTM Agent,10,892.2868369273676,1.549109091887791,True,11141.777,0.5
12,LSTM Agent,12,320.77627365445824,0.5677456170875367,True,16770.617,0.5
13,LSTM Agent,14,433.4992159190138,0.7632028449278412,True,15652.963,0.5
14,LSTM Agent,16,317.80431970656036,0.5614917309303187,True,16784.648,0.5
15,LSTM Agent,8,386.96234867305344,0.6788813134614973,True,16145.698,0.5
16,LSTM Agent,10,700.6928217984196,1.2271327877380378,True,13001.303,0.5
17,LSTM Agent,12,390.0476778770859,0.6842941717141858,True,16108.548,0.5
18,LSTM Agent,14,471.8020184531555,0.8205252494837487,True,15295.754,0.5
19,LSTM Agent,16,365.7328579137063,0.6371652576893838,True,16333.854,0.5
20,LSTM Agent,8,468.55136209733234,0.8292944461899687,True,15309.979,0.5
21,LSTM Agent,10,594.0465453309015,1.0458565938924322,True,14065.626,3.0
22,LSTM Agent,12,621.4633678738386,1.0960553225288159,True,13823.619,0.5
23,LSTM Agent,14,534.4700854054881,0.9311325529712337,True,14666.673,0.5
24,LSTM Agent,16,309.1089614066466,0.550996366143755,True,16876.984,0.5
25,LSTM Agent,8,326.1482618032328,0.5782770599348099,True,16714.387,0.5
