,Agent,Mass,Total TTE,Mean TTE,Completed Mission,Reward,Time Outside Corridor
0,LSTM Agent,8,655.242590999308,1.1556306719564515,True,13484.48,0.5
1,LSTM Agent,10,356.0532384521123,0.6301827229240925,True,16400.656,0.5
2,LSTM Agent,12,410.3113059752699,0.7173274579987235,True,15906.065,0.5
3,LSTM Agent,14,359.0600534907898,0.6355045194527253,True,16397.111,0.5
4,LSTM Agent,16,317.872266865695,0.562605782063177,True,16788.422,0.5
5,LSTM Agent,18,318.18631237941327,0.564160128332293,True,16789.238,0.5
6,LSTM Agent,8,871.3911329274716,1.5102099357495176,True,11345.53,0.5
7,LSTM Agent,10,599.4949127167855,1.0282931607492032,True,14008.864,0.5
8,LSTM Agent,12,304.68424555875487,0.5402202935438916,True,16917.13,0.5
9,LSTM Agent,14,392.08002082332246,0.6951773418853235,True,16065.783,0.5
10,LSTM Agent,16,658.8912609536733,1.1600198256226641,True,13425.402,0.5
11,LSTM Agent,18,354.32263930241993,0.6293474943204617,True,16440.16,0.5
12,LSTM Agent,8,325.3488146905795,0.5768596005152119,True,16723.857,0.5
13,LSTM Agent,10,404.09919250527764,0.7064671197644714,True,15967.202,0.5
14,LSTM Agent,12,628.1244488783095,1.0981196658711705,True,13735.111,0.5
15,LSTM Agent,14,818.209207785178,1.4507255457184007,True,11863.858,0.5
16,LSTM Agent,16,364.5018902745842,0.6417286800608877,True,16352.078,0.5
17,LSTM Agent,18,345.05822681757377,0.6096435102783989,True,16534.197,0.5
18,LSTM Agent,8,444.3245482554512,0.7781515731268848,True,15570.149,0.5
19,LSTM Agent,10,411.1515492620114,0.715046172629585,True,15901.727,0.5
20,LSTM Agent,12,634.6588681820671,1.1272804052967444,True,13660.889,4.5
21,LSTM Agent,14,437.9555381148415,0.7656565351658068,True,15638.107,0.5
22,LSTM Agent,16,315.9600711953647,0.5622065323760939,True,16807.502,0.5
23,LSTM Agent,18,914.8815198520824,1.5639000339351836,True,10938.873,0.5
24,LSTM Agent,8,845.8209301898378,1.4865042709838976,True,11594.822,0.5
25,LSTM Agent,10,751.9882307413246,1.3123703852379138,True,12506.182,0.5
26,LSTM Agent,12,825.9677358285775,1.4265418580804448,True,11788.605,0.5
27,LSTM Agent,14,561.6076517780887,0.9904896856756414,True,14405.809,0.5
28,LSTM Agent,16,302.81669132068265,0.5359587457003233,True,16945.865,0.5
29,LSTM Agent,18,318.95166606076,0.5675296549123843,True,16769.51,0.5
30,LSTM Agent,8,825.8609963105595,1.4238982695009645,True,11794.431,0.5
31,LSTM Agent,10,424.56501076857387,0.7448508960852173,True,15757.133,0.5
32,LSTM Agent,12,359.5465629969581,0.6352412773797845,True,16377.621,0.5
33,LSTM Agent,14,422.7214477953346,0.7481795536200613,True,15760.503,0.5
34,LSTM Agent,16,680.6786369332423,1.1920816758900916,True,13248.75,0.5
35,LSTM Agent,18,497.9270760058502,0.8939444811595156,True,15019.283,0.5
36,LSTM Agent,8,653.4369540628012,1.140378628381852,True,13504.5625,0.5
37,LSTM Agent,10,317.19328154108024,0.5623994353565253,True,16801.514,0.5
38,LSTM Agent,12,618.1367984953237,1.0998875418066256,True,13836.128,2.0
39,LSTM Agent,14,479.77639105772687,0.8521783144897458,True,15198.571,0.5
40,LSTM Agent,16,310.98605684846746,0.5523731027503862,True,16860.03,0.5
41,LSTM Agent,18,394.41126647694153,0.7017994065426006,True,16039.926,0.5
42,LSTM Agent,8,363.0704670331971,0.6448853766131387,True,16352.5205,0.5
43,LSTM Agent,10,521.0615450644548,0.9141430615165873,True,14795.551,0.5
44,LSTM Agent,12,426.0998529489452,0.7436297608184035,True,15753.191,0.5
45,LSTM Agent,14,364.39276549543393,0.6460864636443864,True,16335.332,0.5
46,LSTM Agent,16,838.4853288096256,1.47881010372068,True,11668.888,0.5
47,LSTM Agent,18,445.3186520118546,0.7798925604410764,True,15563.262,0.5
48,LSTM Agent,8,475.3697459105433,0.8398758761670376,True,15257.725,0.5
49,LSTM Agent,10,435.7709169594169,0.7753930906751191,True,15633.635,0.5
50,LSTM Agent,12,597.3052952194228,1.053448492450481,True,14039.192,0.5
51,LSTM Agent,14,771.5181265414866,1.3559193788075337,True,12335.512,0.5
52,LSTM Agent,16,976.7438779677036,1.6667984265660472,True,10319.259,0.5
53,LSTM Agent,18,355.9206252688974,0.6333107211190345,True,16426.035,0.5
54,LSTM Agent,8,326.61054218524856,0.5750185601852967,True,16717.512,0.5
55,LSTM Agent,10,377.0189789159983,0.6637658079507012,True,16230.022,0.5
56,LSTM Agent,12,317.8213710955133,0.563513069318286,True,16796.678,0.5
57,LSTM Agent,14,420.8060239565971,0.7434735405593588,True,15795.314,0.5
58,LSTM Agent,16,597.5960224602412,1.0652335516225333,True,14030.012,0.5
59,LSTM Agent,18,686.6480234938945,1.1983386099369886,True,13175.255,0.5
