,Agent,Changes,Total TTE,Mean TTE,Completed Mission,Reward,Time Outside Corridor,Mass
0,PID,,741.9578184149098,2.060993940041416,True,12307.716,56.0,8.66
1,RL,,418.714765864883,0.8889910103288386,True,-610.03815,0.0,8.66
2,PID,,638.0585772947234,1.8282480724777175,True,13531.63,53.0,9.66
3,RL,,235.33321278638113,0.5060929307234002,True,1481.5322,0.0,9.66
4,PID,,583.941654015128,1.7124388680795544,True,14177.341,52.0,10.66
5,RL,,152.2013290679755,0.33015472682858027,True,2474.2642,0.0,10.66
6,PID,,606.702964516959,1.7949791849614172,True,13798.416,49.5,11.66
7,RL,,258.3873491018392,0.5592799764109074,True,1226.2584,0.0,11.66
8,PID,,674.0903068758435,1.994350020342732,True,12980.408,49.5,12.66
9,RL,,434.6029708352982,0.9366443336967634,True,-779.2517,0.0,12.66
10,PID,,763.6550978314667,2.1944112006651344,True,11930.637,53.0,13.66
11,RL,,635.441521804529,1.3293755686287216,True,-3031.483,0.0,13.66
12,PID,,963.0348639042825,2.3374632619035984,True,9631.611,111.0,14.66
13,RL,,947.9821709564675,1.7362310823378526,True,-6521.941,96.5,14.66
14,PID,,0.0,0.0,False,-9626.026,0.0,15.66
15,RL,,0.0,0.0,False,-61540.03,0.0,15.66
