,Agent,Changes,Total TTE,Mean TTE,Completed Mission,Reward,Time Outside Corridor,Mass
0,PID,,2092.0167484572403,9.730310457940652,True,3941.4172,69.0,8.0
1,PID SL,,2453.8021135822637,3.456059314904597,True,-4333.032,5.5,8.0
2,Naive Agent,,868.4246517266138,1.4819533305914911,True,11400.787,0.5,8.0
3,Oracle Agent,,537.2298377659938,0.9090183380135259,True,14627.111,0.5,8.0
4,LSTM Agent,,503.32598791623457,0.9587161674594944,True,14999.362,0.5,8.0
5,PID,,3523.144146693284,14.498535583099933,True,-11348.632,78.5,12.0
6,PID SL,,1002.7571817003991,1.3228986565968326,True,10071.567,4.5,12.0
7,Naive Agent,,1163.727445474039,1.9235164388000645,True,8503.278,19.5,12.0
8,Oracle Agent,,557.1726927513732,0.9427625934879412,True,14421.203,0.5,12.0
9,LSTM Agent,,1041.2033017720562,1.971975950325864,True,9655.014,0.5,12.0
10,PID,,2698.2582737738608,12.434369925225164,True,-2284.1611,76.5,8.0
11,PID SL,,830.974234431385,1.7275971609800103,False,-5640.42,0.5,8.0
12,Naive Agent,,529.6593068111847,0.9243617919915963,True,14726.777,0.5,8.0
13,Oracle Agent,,534.9840135191791,0.9006464874060255,True,14647.219,0.5,8.0
14,LSTM Agent,,590.6206801768908,1.1314572417181816,True,14095.641,0.5,8.0
15,PID,,4047.1570730942253,16.060147115453276,True,-16574.922,86.0,12.0
16,PID SL,,182.55428193988624,0.27743811844967514,True,18133.426,0.5,12.0
17,Naive Agent,,591.8114578571666,1.0310304143853077,True,14117.6045,0.5,12.0
18,Oracle Agent,,472.7828480579279,0.8026873481458877,True,15265.042,0.5,12.0
19,LSTM Agent,,417.9838893543543,0.8053639486596422,True,15824.817,0.5,12.0
20,PID,,1711.8860381537656,7.962260642575655,True,7717.1924,70.0,8.0
21,PID SL,,421.2197841933594,0.6382117942323627,True,15764.797,0.5,8.0
22,Naive Agent,,714.1595885676707,1.2313096354615012,True,12903.364,0.5,8.0
23,Oracle Agent,,1262.3037147574814,2.0558692422760285,True,7466.712,0.5,8.0
24,LSTM Agent,,404.561136477006,0.781006054974915,True,15937.381,0.5,8.0
25,PID,,1899.2019796469367,8.874775605826807,True,5931.963,68.5,12.0
26,PID SL,,174.5778517084872,0.2653158840554517,True,18205.947,0.5,12.0
27,Naive Agent,,1678.6825198605115,2.8308305562571863,True,3308.9429,12.5,12.0
28,Oracle Agent,,499.4321871216093,0.835170881474263,True,15002.624,0.5,12.0
29,LSTM Agent,,765.1404782614165,1.4221941975119268,True,12420.014,0.5,12.0
30,PID,,2376.016556146871,10.285785957345762,True,1679.6565,71.0,8.0
31,PID SL,,1747.6961334939256,2.547662002177734,True,2615.427,0.5,8.0
32,Naive Agent,,758.6174968577577,1.2707160751386226,True,12495.932,8.0,8.0
33,Oracle Agent,,501.3422295118537,0.848294804588585,True,14977.791,0.5,8.0
34,LSTM Agent,,425.4770448890189,0.824567916451587,True,15731.095,0.5,8.0
35,PID,,1972.4744119845375,8.651203561335691,True,4852.916,64.5,12.0
36,PID SL,,202.826479836367,0.30731284823691973,True,17929.34,0.5,12.0
37,Naive Agent,,633.7013308637999,1.1059360049979055,True,13694.585,0.5,12.0
38,Oracle Agent,,510.05002611211836,0.861570990054254,True,14908.702,0.5,12.0
39,LSTM Agent,,413.8294900902075,0.7988986295177751,True,15860.275,0.5,12.0
40,PID,,1864.906409194116,8.673983298577284,True,6368.8145,67.5,8.0
41,PID SL,,354.4566254949997,0.537055493174242,True,16443.172,0.5,8.0
42,Naive Agent,,499.73284546051013,0.8721341107513266,True,15016.779,0.5,8.0
43,Oracle Agent,,1262.0893069577874,2.0826556220425534,True,7438.5596,0.5,8.0
44,LSTM Agent,,941.6554951541382,1.7767084814229022,True,10645.758,7.0,8.0
45,PID,,1824.4883591418024,8.565673047614096,True,6602.4434,66.5,12.0
46,PID SL,,502.75388148034585,0.7415248989385632,True,15013.672,0.5,12.0
47,Naive Agent,,851.3309176789069,1.44538356142429,True,11548.934,0.5,12.0
48,Oracle Agent,,608.5595725436765,1.0297116286695034,True,13929.571,0.5,12.0
49,LSTM Agent,,1101.05103936031,2.089280909602106,True,9076.102,0.5,12.0
