,0,1,2,3,4,5,6,7
0,0.0,0.0,105.9,68.1,68.1,105.9,0.0,0.0
1,0.0,0.0,103.2,66.4,66.4,103.2,0.0,0.0
2,0.0,0.0,100.5,64.7,64.7,100.5,0.0,0.0
3,0.0,0.0,97.6,62.8,62.8,97.6,0.0,0.0
4,0.0,0.0,94.8,61.0,61.0,94.8,0.0,0.0
5,0.0,0.0,92.0,59.2,59.2,92.0,0.0,0.0
6,0.0,0.0,89.2,57.4,57.4,89.2,0.0,0.0
7,0.0,0.0,86.3,55.5,55.5,86.3,0.0,0.0
8,0.0,0.0,83.4,53.7,53.7,83.4,0.0,0.0
9,0.0,0.0,80.5,51.8,51.8,80.5,0.0,0.0
10,168.8,158.1,192.4,183.0,183.0,192.4,158.1,168.8
11,169.8,160.4,190.4,182.1,182.1,190.4,160.4,169.8
12,170.6,162.6,188.5,181.3,181.3,188.5,162.6,170.6
13,171.4,164.6,186.8,180.6,180.6,186.8,164.6,171.4
14,172.1,166.4,185.2,179.9,179.9,185.2,166.4,172.1
15,172.8,168.1,183.6,179.2,179.2,183.6,168.1,172.8
16,173.4,169.6,182.3,178.7,178.7,182.3,169.6,173.4
17,174.0,171.0,181.0,178.1,178.1,181.0,171.0,174.0
18,174.5,172.2,179.8,177.6,177.6,179.8,172.2,174.5
19,175.0,173.4,178.6,177.1,177.1,178.6,173.4,175.0
20,237.3,236.6,239.0,238.3,238.3,239.0,236.6,237.3
21,237.6,237.3,238.3,238.0,238.0,238.3,237.3,237.6
22,237.9,237.9,237.7,237.8,237.8,237.7,237.9,237.9
23,238.1,238.5,237.1,237.5,237.5,237.1,238.5,238.1
24,238.3,239.0,236.6,237.3,237.3,236.6,239.0,238.3
25,238.5,239.4,236.2,237.2,237.2,236.2,239.4,238.5
26,238.6,239.8,235.8,237.0,237.0,235.8,239.8,238.6
27,238.8,240.1,235.5,236.9,236.9,235.5,240.1,238.8
28,238.9,240.4,235.2,236.7,236.7,235.2,240.4,238.9
29,239.0,240.7,234.9,236.6,236.6,234.9,240.7,239.0
30,278.8,280.3,275.0,276.6,276.6,275.0,280.3,278.8
31,278.8,280.5,274.8,276.5,276.5,274.8,280.5,278.8
32,278.9,280.6,274.7,276.4,276.4,274.7,280.6,278.9
33,279.0,280.8,274.5,276.4,276.4,274.5,280.8,279.0
34,279.0,280.8,274.5,276.3,276.3,274.5,280.8,279.0
