,Wind Speed,PID,PID Std,Mid,Mid Std,High,High Std
0,1,0.1831368,0.035536446,0.42457062,0.0877384,0.39229265,0.06782618
1,2,0.18515195,0.034742445,0.42235813,0.08717974,0.39249006,0.06768432
2,3,0.18874815,0.036028534,0.41923216,0.0881056,0.39201963,0.06720065
3,4,0.19364871,0.03602191,0.41552234,0.0865061,0.39082915,0.065538466
4,5,0.1999382,0.03630441,0.4098016,0.08599381,0.39026013,0.06491703
5,6,0.20808658,0.03657296,0.40310767,0.082129136,0.38880545,0.06114988
6,7,0.21784958,0.036817186,0.39458212,0.08099499,0.38756818,0.06035286
7,8,0.22907901,0.037361685,0.3855086,0.079752505,0.3854125,0.058820754
8,9,0.24208914,0.037076402,0.37438974,0.07718365,0.3835212,0.057111938
9,10,0.25541943,0.037161626,0.36461663,0.071569435,0.37996355,0.053136677
