,Wind Speed,PID,PID Std,Mid,Mid Std,High,High Std
0,1,0.29735374,0.033309147,0.35771298,0.016012719,0.34493315,0.022447059
1,2,0.29886693,0.033470705,0.3559064,0.015981704,0.34522656,0.022601597
2,3,0.30135822,0.0332325,0.35294884,0.015545571,0.34569284,0.022816256
3,4,0.30499366,0.033677414,0.3485746,0.015625302,0.3464319,0.02300104
4,5,0.30964354,0.03357456,0.34323,0.015191528,0.34712654,0.023194358
5,6,0.31532475,0.033530604,0.33674192,0.014953165,0.3479334,0.023372063
6,7,0.32181764,0.03336722,0.32946408,0.014629245,0.3487183,0.023462612
7,8,0.328924,0.0325847,0.3213208,0.013938892,0.34975526,0.023288906
8,9,0.33664057,0.03192408,0.31273463,0.013529223,0.35062498,0.023050927
9,10,0.34500745,0.030423988,0.30374846,0.012922421,0.35124406,0.02230592
